Номенклатура,Номенклатура.Код,Артикул,Кратность,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
"S232 2кл с/у. 6А IP20 ""Прима"" ВС 56-043-б (96) !!!",030200008_,S56-043-B,0,,,,,,,,,,,,,,,,,,,2,35,47,27,34,39,6,,,,,,,,,190
"S233 1кл. инд.с/у 6А IP20 ""Прима"" ВС 16-053-б (96) !!!",030200005_,S16-053-B,0,3,8,7,2,3,2,,,,,,1,,,,4,,,,,18,11,2,11,11,2,5,4,,31,9,17,44,195
"S234 2кл.инд.с/у 6А IP20 ""Прима"" ВС 56-039-б (96) !!!",030200007_,S56-039-B,0,6,3,3,1,7,3,,,,,,,,,,,,,,,2,1,2,,,,,,,43,,,5,76
"S236 с/у з/к.з/ш.16А IP20 ""Прима"" РС 16-004-б (81) !!!",030200015_,RS16-004-B,0,,,,,,,,,,,,,,,,,2,-2,6,,,4,-4,,,,,1,,,,,,7
"S239 1кл о/у. 6А IP20  ""Прима"" ВА 16-051-б (130) !!!",030200002_,A16-051-B,0,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,6
"S242 2кл.инд  о/у 6А IP20  ""Прима"" ВА 56-007-б (130) !!!",030200003_,A56-007-B,0,,,,,,,,,,,,,,,,4,,,15,8,1,3,3,1,4,,3,9,6,47,5,10,,119
"S243 о\у 10А IP20  ""Прима"" РА 10-164-б (168) !!!",030200009_,RA10-164-B,0,,,,,,,,,,,,,,,,,,,1,14,5,,,,,,,,,,,,,20
"S248 с/у. 6А IP20 ""ХИТ"" ВС 16-133-б (96) !!!",030200030_,VS16-133-B,20,165,60,133,536,693,42,43,70,24,479,21,64,66,83,,,,,,,,,,,,,,,,,,,,2479
"S249 2кл. с/у. 6А IP20 ""ХИТ"" ВС 56-234-б (96)  !!!",030200031_,VS56-234-B,20,16,30,35,438,208,40,33,25,27,343,25,,74,49,,,,,,,,,,,,,,,,,,,,1343
"S250 с/у 10А IP20  ""ХИТ"" РС 10-132-б / 10-135-б (114)  !!!",030200036_,RS10-132-B,20,79,38,41,37,46,22,20,40,,46,60,80,20,10,20,,,,,,,,,,,,,,,,,,,559
"S251 с/у.з/к 16А  IP20  ""ХИТ"" РС 16-134-б (81) !!!",030200038_,RS16-134-B,20,44,48,124,968,1457,206,13,30,91,1324,20,40,22,131,30,842,,,,,,,,,,10,,,,,,,,5400
"S252 2-я с/у 10А IP20  ""ХИТ""  РС 16-235-б / 16-230-б (80) !!!",030200037_,RS16-235-B,10,137,295,338,128,119,53,170,150,170,100,210,60,170,50,150,,,,,,,50,,,,,,,,,,,,2350
"S253 2-я с/у.з/к 16А IP20 ""ХИТ"" РС 16-236-б  (68) !!!",030200039_,RS16-236-B,10,159,165,112,787,740,50,25,11,26,183,11,65,110,164,,10,,,,,,,,,2,,15,,,,,,,2635
"S254 о/у. 6А IP20  ""ХИТ"" ВА 16-131-б (168) !!!",030200028_,VA16-131-B,25,62,56,48,75,100,57,157,217,149,161,145,35,188,88,51,,,,,,,,,,,,,,,,,,,1589
"S255 2кл.о/у. 6А IP20 ""ХИТ"" ВА 56-232-б (168) !!!",030200029_,VA56-232-B,25,12,29,36,29,12,,26,25,21,19,74,15,12,,15,,,,,,,,,,,,,,,,,,,325
"S256 о/у.10А IP20  ""ХИТ"" РА 10-131-б (168) !!!",030200032_,RA10-131-B,25,201,19,33,6,15,40,32,28,6,32,35,,32,43,84,,,,,,,,,,,,,,,,,,,606
"S257 о/у. з/к 16А IP20  ""ХИТ""  РА 16-133-б (132) !!!",030200034_,RA16-133-B,17,416,189,57,324,394,-217,201,160,98,88,69,,77,184,111,3,82,,,,,,,,,20,32,,,,,,,2288
"S258  2-я.о/у. 10А IP20 ""ХИТ"" РА 16-237I-б / РА 16-233I-б (112) !!!",030200239_,RA16-237I-B,16,109,102,55,12,58,52,120,282,90,48,137,42,227,95,,,,,,,,,,,,,,,,,,,,1429
"S259 2-я. о/у.з/к.16А IP20 ""ХИТ"" РА 16-238I-б (84) !!!",030200240_,RA16-238I-B,16,316,268,458,232,313,79,418,85,371,130,234,95,356,93,15,,16,,,,,,,,1,10,5,,,,,,,3495
"S266 1кл с/у инд 10А ""Wessen 59"" ВС 110-153-18 (10/60) !!!",030200379_,VS110-153-18,0,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,2
"S283 о/у. 6А IP44 ""Рондо"" ВА 66-102Б-би переключатель (10/60) !!!",030200026_,VA66-102B-BI,0,237,217,42,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,499
"S284 2кл. о/у 6А IP44  ""Рондо"" ВА 56-225Б-би (10/60) !!!",030200025_,VA56-225B-BI,0,1,62,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,70
"S285 с/у.з/к.з/ш 16А IP44 ""Рондо"" РС 16-126Б-би (10/60) !!!",030200027_,RS16-126B-BI,0,8,4,5,,19,,,1,,45,,,,,,,,17,5,,6,,1,,,,,,3,2,,,,116
"S286 о/у.з/ш. 10А IP44 ""Рондо"" РА 10-125Б-би (12/72) !!!",030200052_,RA10-125B-BI,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"S287 о/у.з/к.з/ш.16А IP44 ""Рондо"" РА 16-112Б-би (10/60) !!!",030200053_,RA16-112B-BI,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"S288 2-я.о/у. з/к.з/ш 16А IP44 ""Рондо"" РА 16-227Б-би (5/30) !!!",030200054_,RA16-227B-BI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
"S297  Розетка  2-ая с/у, з/ш ЭТЮД (120) РС16-006В !!!",030200183_,РС16-006В,0,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5
"S310  Розетка IP44 с/у, з/к, з/ш ЭТЮД РС16-044В (120)",030200191_,PC16-044B,14,,2,1,1,,,,,,,,13,,2,,,,4,,44,,,,,1,,,,,,,,,68
S313  Выкл. 1-кл. с инд. о/у IP44 Белый ЭТЮД ВА10-045В (112),030200175_,BA10-045B,14,,,2,4,,,,,,,3,,,,,,5,,,,,,,,,,,,,,,,,14
"S315  Розетка 1-я о/у, з/ш, з/к IP44 Белая ЭТЮД РА16-044В (96)",030200176_,PA16-044B,12,,6,55,15,,,1,,,1,14,,2,2,13,,,,,,,,15,,1,,,1,,,2,3,,131
"S360 Выкл 1 кл 10А с/у ""GLOSSA"" белый GSL112 (15)",030200247_,GSL000112,15,3,37,22,39,45,38,18,106,25,19,4,32,8,,41,27,3,,2,,22,1,22,,,,,1,,,,,,515
"S361 Выкл 1 кл с инд 10А с/у б/рамки "" белый GSL113 (20)",030200246_,GSL000113,20,,,4,,,16,5,12,7,6,3,5,,,,,,,,,,,9,46,,,,,,,,,,113
"S362 Выкл 2 кл 10А с/у ""GLOSSA"" белый GSL152 (15)",030200243_,GSL000152,15,19,25,12,21,17,13,20,60,8,9,5,12,7,1,5,9,4,,,,1,2,,4,,,6,1,,,,69,14,344
"S363 Выкл 2 кл с инд 10А с/у б/рамки ""GLOSSA"" белый GSL153 (20)",030200244_,GSL000153,20,,,,2,5,9,2,,5,-3,2,4,2,,,,,,,5,,,8,23,,,,,,1,,,,65
"S364 Выкл 3 кл 10А с/у б/рамки ""GLOSSA"" белый GSL131 (20)",030200245_,GSL000131,20,1,6,,16,1,2,5,,,11,,,,,,,,1,,,,,1,2,,1,,,,4,2,,13,66
"S365 Переключ. 1 кл 10А с/у б/рамки ""GLOSSA"" белый GSL161 (20)",030200248_,GSL000161,20,7,,5,4,18,17,1,,,5,,,1,,,,,1,,,,,2,23,11,3,,3,5,,,,,106
"S366 Переключ. 1 кл с инд 10А с/у б/рамки ""GLOSSA"" белый GSL163 (20)",030200249_,GSL000163,20,6,,,,,11,3,,2,-2,,,,,,1,2,1,,2,,1,17,10,2,11,1,1,10,16,4,,,99
"S367 Роз. 2-ная с/у 16А ""GLOSSA"" белый GSL120 (15)",030200259_,GSL000120,15,3,23,22,34,30,16,12,104,5,19,2,,,16,,10,,,,,,,63,8,10,2,,,,,,,,379
"S368 Роз. 2-ная с/у 16А с з/к з/ш ""GLOSSA"" белый GSL126 (10)",030200260_,GSL000126,10,1,,8,25,29,9,,3,10,16,6,10,,,12,,,,,,,,154,103,,,,,,,,,,386
"S369 Роз. с з/к 16А с/у ""GLOSSA"" белый GSL142 (15)",030200256_,GSL000142,15,,2,7,88,121,183,48,237,42,75,31,70,20,5,23,14,77,,30,5,51,55,102,156,8,,,1,,,,,,1451
"S370 Роз. с з/к 16А с/у з/ш ""GLOSSA"" белый GSL144 (15)",030200257_,GSL000144,15,50,106,,95,32,39,7,154,1,16,74,21,5,,40,,50,,1,,,3,62,38,,,,,,,,,,794
"S371 Роз. с з/к 16А с/у з/ш IP44 ""GLOSSA"" белый GSL148 (10)",030200258_,GSL000148,10,,,,2,16,18,,60,4,1,,1,2,1,,,11,2,,6,1,4,15,22,,,,,,,,,2,168
"S374 Комп. роз. RJ45 5Е механизм б/рамки ""GLOSSA"" белый GSL181K (10)",030200263_,GSL000181K,10,2,6,,11,5,5,1,3,2,2,,5,,,2,,2,,,2,,2,11,-1,,,,,,,,,,60
"S375 Роз. RG11+RJ45 5Е кат 5Е механизм б/рамки ""GLOSSA"" белый GSL185 (10)",030200262_,GSL000185,10,,,2,1,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,9
"S376 ТV роз. проход.с/у б/рамки ""GLOSSA"" белый GSL192 (10)",030200265_,GSL000192,10,,5,4,6,,8,2,,,2,1,,,,,3,,,,,,,2,,,,,,,,,,,33
"S377 Телефонная роз. RJ11 механизм б/рамки ""GLOSSA"" белый GSL181T (10)",030200261_,GSL000181T,10,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
"S378 USB розетка - 2х5В/ 1050 мА с/у б/рамки ""GLOSSA"" белый GSL133 (1)",030200292_,GSL000133,1,,3,3,,,,,,,,,,,,,,,,,,,,1,6,,,,5,,,,,,18
"S379 Рамка 1-ная ""GLOSSA"" белый GSL101 (45)",030200250_,GSL000101,45,3,12,2,21,28,30,10,56,8,3,5,6,16,,4,5,2,1,,11,,20,47,66,,5,2,21,6,1,,3,6,400
"S380 Рамка 2-ная ""GLOSSA"" белый GSL102 (30)",030200251_,GSL000102,30,11,38,32,61,32,55,6,137,14,28,14,35,11,2,4,14,9,,7,13,,15,43,25,,3,1,9,19,3,4,4,11,660
"S381 Рамка 3-ная ""GLOSSA"" белый GSL103 (15)",030200252_,GSL000103,15,4,7,,18,12,20,3,60,3,11,4,10,3,1,,,2,,,4,,12,10,13,,,,4,2,,,2,7,212
"S382 Рамка 4-ная ""GLOSSA"" белый GSL104 (15)",030200253_,GSL000104,15,1,7,,8,6,14,2,2,,2,,2,,,1,1,7,,,2,,4,9,1,,1,,,,,,,,70
"S383 Рамка 5-ная ""GLOSSA"" белый GSL105 (5)",030200254_,GSL000105,5,,1,,,1,,,,2,2,,2,,,3,2,3,,,,,,1,2,,,,,,,,,1,20
"S3833 Выкл 1 кл 10А с/у б/рамки ""ATLAS"" белый (20) ATN111",300200331_,ATN000111,20,698,216,1244,1291,2517,2065,2287,2678,2751,2211,2400,1365,1575,1564,1184,1323,1892,1507,1038,1761,1491,897,1172,1185,1043,681,822,861,619,1002,1675,1107,495,46617
"S384 Выкл 1 кл 10А с/у ""ATLAS"" белый ATN112  (15)",300200296_,ATN000112,15,589,424,687,820,785,1082,435,983,696,485,634,544,298,572,414,782,506,421,513,787,402,381,479,459,407,377,242,780,556,481,717,586,400,18724
"S385 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" белый ATN113 (20)",300200283_,ATN000113,20,,27,147,143,71,89,36,73,39,25,44,36,11,111,70,72,66,87,21,299,45,38,63,23,84,30,50,46,-12,76,41,76,24,2051
"S386 Выкл 2 кл 10А с/у ""ATLAS"" белый ATN152 (15)",300200302_,ATN000152,15,364,499,708,775,453,572,253,605,514,270,383,277,229,462,218,361,105,285,336,520,368,317,281,254,210,121,161,371,244,262,279,293,246,11596
"S3866 Выкл 2 кл 10А механизм ""ATLAS"" белый ATN151 (20)",300200333_,ATN000151,20,35,13,383,819,1751,914,1326,1534,1121,1280,1003,738,922,948,610,890,1030,719,550,923,830,382,559,802,573,457,241,423,374,586,624,660,275,24295
"S387 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" белый ATN153 (20)",300200288_,ATN000153,20,,6,75,96,42,65,35,48,98,6,5,14,51,114,22,102,45,45,7,26,65,14,19,16,36,30,27,12,44,31,49,29,16,1290
"S388 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" белый ATN131 (20)",300200284_,ATN000131,20,9,27,71,80,164,85,80,418,85,77,91,102,77,117,139,45,119,65,68,77,57,23,38,73,15,28,67,41,52,53,45,84,29,2601
"S3899 Диммер поворотно-нажимной с/у б/рамки 400Вт ""ATLAS"" белый ATN123 (1)",300200767_,ATN000123,1,1,,1,3,8,,5,13,6,9,-2,4,,1,1,1,1,,-1,3,9,3,,3,2,5,,,1,,1,,1,79
"S390 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" белый ATN183 (10)",300200293_,ATN000183,10,258,443,634,394,604,392,495,376,657,270,460,381,342,372,211,219,309,386,226,280,152,138,127,129,135,187,179,103,188,245,98,193,91,9674
"S391 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" белый ATN161 (20)",300200289_,ATN000161,20,156,28,205,285,281,408,434,454,400,593,477,287,245,356,223,211,322,297,335,290,279,177,184,140,212,95,96,200,92,193,71,198,52,8276
"S392 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" белый ATN163 (20)",300200290_,ATN000163,20,,4,,5,7,11,5,,10,2,,1,,,10,8,12,4,,-20,2,,4,4,10,,,,18,4,,4,,105
"S393 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" белый ATN171 (5)",300200291_,ATN000171,5,1,2,73,65,75,113,24,107,78,47,54,37,15,53,22,23,69,37,46,7,23,35,73,30,51,7,10,38,26,44,35,56,32,1408
"S394 Роз. 2-ная с/у 16А ""ATLAS"" белый ATN120 (15)",300200297_,ATN000120,15,67,911,887,704,915,673,1085,1473,1166,1073,801,490,740,539,693,672,681,764,848,783,707,691,706,325,507,470,346,520,503,397,657,521,332,22647
"S395 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" белый ATN126 (10)",300200298_,ATN000126,10,52,517,1358,954,1092,866,1208,1190,1187,889,945,915,663,996,515,1002,1078,880,1079,751,686,720,1203,742,782,607,482,781,739,987,1275,1367,333,28841
"S396 Роз. 2-ная с/у 16А с з/к з/ш со сдвиж.крыш.""ATLAS"" белый ATN128 (6)",300200299_,ATN000128,6,4,6,6,1,3,18,1,10,20,,1,,,4,,2,50,,1,7,-52,2,6,2,,,1,,,,,2,1,96
"S397 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" белый ATN185 (10)",300200294_,ATN000185,10,54,59,130,61,55,60,134,223,207,61,166,56,25,215,55,50,56,33,64,281,42,114,118,129,5,9,50,64,29,29,14,49,92,2789
"S398 Роз. с з/к 16А с/у б/рамки ""ATLAS"" белый ATN143 (20)",300200286_,ATN000143,20,3270,5029,6663,8357,10349,8637,11455,11997,10402,11409,8757,8682,6557,6663,5776,6383,7671,7033,5770,7503,6226,4152,5453,7214,4211,4627,4163,4744,3421,4661,6295,5686,2368,221584
"S3988 Роз. без з/к без шторок 16А механизм ""ATLAS"" белый ATN141 (20)",300200332_,ATN000141,20,20,49,866,1013,822,1175,1640,1565,1921,1385,1795,865,736,990,865,1377,813,1298,1157,869,969,541,663,466,560,497,312,661,331,708,500,416,381,28226
"S399 Роз. с з/к 16А с/у з/ш ""ATLAS"" белый ATN144 (15)",300200301_,ATN000144,15,161,580,754,613,403,836,836,661,1022,287,602,593,343,657,387,925,417,236,897,675,209,455,786,448,790,439,258,313,372,316,462,673,435,17841
"S400 Роз. с з/к 16А с/у з/ш с выталкивателем б/рамки ""ATLAS"" белый ATN147 (15)",300200287_,ATN000147,15,4,8,15,3,7,5,3,94,16,20,,,,,38,,2,5,9,,,4,27,28,,,23,,32,,5,1,,349
"S4000 Роз. с з/к 16А с/у з/ш с крышкой б/рамки""ATLAS"" белый  ATN146 (15)",300200700_,ATN000146,15,,20,188,50,233,204,266,183,88,33,130,110,110,158,175,55,105,192,221,119,123,92,66,20,49,146,96,40,60,102,91,131,139,3795
"S401 ТV роз. оконечная с/у б/рамки ""ATLAS"" белый ATN191 (10)",300200295_,ATN000191,10,4,49,118,138,88,67,164,69,166,37,115,52,42,202,36,49,71,48,20,48,37,29,28,30,5,7,8,25,12,14,36,23,7,1844
"S402 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" белый ATN181 (10)",300200292_,ATN000181,5,-8,1,12,29,11,35,38,33,12,4,4,4,1,52,2,,17,25,5,10,,3,6,8,25,10,3,,1,,1,4,,348
"S403 ТЕРМОСТАТ для теп.пола с датч. с/у 16А ""ATLAS"" белый (1) ATN138",300200300_,ATN000138,1,6,1,12,7,10,4,3,9,4,5,11,10,4,5,,8,,,,,,4,10,2,,,,8,,2,,2,3,130
"S404 USB розетка - 2 порта с/у б/рамки ""ATLAS"" белый (1) ATL133",300200312_,ATN000133,1,,,,,,,,,10,7,2,,1,1,1,1,9,8,,,,1,,7,,,7,,,9,3,,,67
"S405 Рамка 1-ная ""ATLAS"" белый (45) ATN101",300200303_,ATN000101,45,2156,783,4509,5059,7174,5292,8070,8581,6867,8081,7796,3962,4019,4666,3815,4939,5786,4713,3254,5456,3753,2809,3403,3830,2600,2695,2412,3192,1967,3823,4663,3530,1664,145319
"S406 Рамка 2-ная ""ATLAS"" белый (30) ATN102",300200304_,ATN000102,30,964,472,2000,1948,2850,1839,2903,3178,2639,3062,3241,1513,2083,1926,990,2717,2020,1649,1615,2239,1809,932,1578,1740,1471,1133,842,1008,884,1390,937,1547,751,57870
"S407 Рамка 3-ная ""ATLAS"" белый (15) ATN103",300200305_,ATN000103,15,349,166,968,889,1172,953,1181,1538,1098,1318,1349,825,672,695,576,731,891,712,608,784,605,578,644,574,668,318,426,501,367,456,446,568,254,23880
"S408 Рамка 4-ная ""ATLAS"" белый (15) ATN104",300200306_,ATN000104,15,232,119,414,294,315,325,380,462,610,459,661,212,199,355,176,182,313,256,270,243,223,242,248,523,259,128,112,140,85,201,139,218,136,9131
"S409 Рамка 5-ная ""ATLAS"" белый (5) ATN105",300200307_,ATN000105,5,18,125,78,64,51,86,43,89,96,93,75,37,19,49,67,52,35,116,53,42,48,135,97,32,9,20,28,36,-7,43,13,31,22,1795
"S410 Переключ. AQUA 1 кл 10А с/у б/рамки IP 44 ""ATLAS"" белый ATN0161 (20)",300200310_,ATN440161,20,,3,60,12,3,,48,10,5,5,8,2,20,,,,2,3,13,15,53,,2,6,,12,1,,,,20,10,5,318
"S411 Роз. AQUA с з/к 16А с/у з/ш c крышкой б/рамки IP 44 ""ATLAS"" белый ATN0146 (15)",300200311_,ATN440146,15,3,27,86,150,190,44,171,196,133,108,47,95,45,53,55,137,137,147,157,105,84,40,150,139,155,190,21,21,39,160,57,61,87,3290
"S412 Рамка 1-ная AQUA IP 44 ""ATLAS"" белый ATN0101 (10)",300200308_,ATN440101,10,5,5,23,15,70,4,135,18,10,8,22,6,2,18,15,16,21,3,14,17,50,11,38,59,2,64,28,3,10,16,2,49,51,810
"S413 Рамка 2-ная AQUA IP 44 ""ATLAS"" белый ATN0102 (5)",300200309_,ATN440102,5,,1,13,25,,18,4,8,2,2,2,10,3,7,4,4,15,6,8,3,6,9,21,20,6,34,2,1,6,16,5,10,1,272
"S414 Выкл 1 кл  с/у 6А 250B ""BLANCA"" белый BLNVS006101 (60)",300200313_,BLNVS006101,10,12,56,15,151,94,81,21,99,97,121,65,236,58,63,20,374,88,23,54,105,32,67,22,22,25,12,414,63,22,15,45,34,7,2613
"S414 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" белый ATN165 (20)",300200498_,ATN000165,20,17,92,176,192,262,260,159,291,283,197,306,143,137,115,134,125,311,277,165,147,178,81,81,173,209,100,61,111,73,155,41,183,46,5281
"S415 Адаптер 45 ""ATLAS"" белый ATN108  (15)",ATN000108,ATN000108,5,,,,5,34,,,11,65,,,,,,,,1,,,,,,,,3,,,,,,61,,,180
"S415 Выкл 2 кл  с/у 6А 250B ""BLANCA"" белый BLNVS006501 (60)",300200314_,BLNVS006501,10,2,,20,65,49,33,13,54,45,49,17,135,33,39,4,285,6,4,47,15,3,3,4,2,21,9,360,7,3,12,25,9,4,1377
"S416 Заглушка б/с ""ATLAS"" белый ATN109  (15)",ATN000109,ATN000109,5,,,4,,12,2,,2,5,3,5,1,,,2,21,,14,4,,21,,20,,,4,15,1,1,2,,6,11,156
"S416 Роз  с/у без з/к 16А 250В ""BLANCA""  белый BLNRS000011 (60)",300200315_,BLNRS000011,10,4,2,5,23,64,31,35,20,,30,5,,,,14,5,,5,20,,,,,,,,,,,6,,,,269
"S417 Перекрест. перекл. 2 кл 10А с/у б/рамки мех. ""ATLAS"" белый ATN173   (5) NEW",300200771_,ATN000173,5,,,,5,9,39,12,37,103,48,36,17,34,22,37,61,24,12,31,38,20,18,40,13,30,8,6,24,34,42,12,16,16,844
"S417 Роз  2-ная  с/у без з/к 16А 250В ""BLANCA""  белый BLNRS000021 (36)",300200316_,BLNRS000021,6,26,5,68,104,117,165,25,52,20,75,22,6,21,11,19,2,,2,8,,10,3,,3,8,1,5,2,2,1,6,,,789
"S418 Вывод кабеля механизм ""ATLAS"" белый ATN000199  (10)",300200959_,ATN000199,10,,,,,,,,10,,,,,13,28,9,136,24,39,20,36,22,16,38,70,24,7,29,15,31,24,20,29,45,685
"S418 Роз  с/у с з/к 16А 250В ""BLANCA""  белый BLNRS001011 (60)",300200317_,BLNRS001011,10,53,3,76,107,529,43,3,685,53,290,89,612,26,142,34,131,69,23,342,160,27,13,31,5,82,26,421,227,55,42,22,37,69,4527
"S419 Выкл. 1 кл с самовозвр. механизм ""ATLAS"" белый ATN000115 (5)",300200496_,ATN000115,5,,,,,,,,,,,,,17,2,64,14,,,80,10,15,,,12,1,11,50,73,5,6,64,6,18,448
"S419 Роз  с/у с з/к с штор. 16А 250В ""BLANCA"" белый BLNRS001111 (60)",300200346_,BLNRS001111,10,,,,,,,,,,10,,35,128,,,36,,,,,2,,,2,35,,21,20,,,,,,289
"S420 Роз  2-ная  с/у с з/к 16А 250В ""BLANCA""  белый BLNRS001021 (36)",300200318_,BLNRS001021,6,,,6,151,473,31,37,750,243,133,77,52,78,66,49,586,42,69,82,94,71,68,34,7,68,71,541,166,65,75,6,50,16,4257
"S421 Роз  2-ная  с/у с з/к с штор. 16А 250В ""BLANCA"" белый BLNRS001121 (36)",300200347_,BLNRS001121,6,,,3,59,126,,327,3,33,212,17,94,,30,40,166,,,,,,4,,1,,3,142,1,,10,45,3,6,1325
"S422 Выкл 1 кл  о/у 6А 250B ИЗОЛ.ПЛ. ""BLANCA""  белый BLNVA061011 (90)",300200319_,BLNVA061011,15,46,4,257,484,457,477,339,390,648,601,383,249,552,393,295,395,435,327,608,668,328,461,602,507,268,199,239,401,276,311,611,299,320,12830
"S423 Выкл 2 кл  о/у 6А 250B ИЗОЛ.ПЛ. ""BLANCA""  белый BLNVA065011 (90)",300200320_,BLNVA065011,15,7,15,24,165,105,73,168,109,210,253,121,129,189,57,108,110,127,81,139,252,91,130,141,55,145,86,63,169,84,95,170,61,150,3882
"S424 Роз  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000111 (108)",300200321_,BLNRA000111,18,,2,8,46,162,16,42,108,127,52,56,57,145,13,97,36,26,85,18,104,9,26,43,24,4,3,18,24,9,24,34,3,39,1460
"S425 Роз  2-ная  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000211 (60)",300200322_,BLNRA000211,10,,,55,136,157,28,218,166,257,126,126,79,180,63,97,143,73,190,39,155,87,151,172,41,45,93,76,73,58,103,114,84,44,3429
"S426 Роз  о/у с з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA010111 (72)",300200323_,BLNRA010111,12,43,12,482,764,867,548,492,522,669,610,438,511,362,287,252,593,633,483,418,636,264,438,481,835,357,257,288,378,396,379,716,492,473,15376
"S427 Роз  2-ная  о/у с з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA010211 (48)",300200324_,BLNRA010211,8,61,5,313,1195,1107,842,830,1102,1309,1196,1113,1104,694,921,814,978,1089,759,967,1306,1043,1029,1368,955,996,648,680,1016,807,1213,799,886,839,29984
"S428 Роз 3-ная  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000311 (36)",300200325_,BLNRA000311,6,3,57,18,65,35,63,37,99,93,51,32,68,32,162,60,29,39,43,22,43,102,40,6,37,50,23,5,26,40,33,46,44,57,1560
"S429 Роз 3-ная  о/у с з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA010311 (30)",300200326_,BLNRA010311,5,102,1,119,259,566,368,369,377,525,285,320,384,328,423,261,305,262,248,307,309,301,401,201,358,533,347,198,524,246,544,397,426,212,10806
"S430 Роз 4-ная  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000411 (30)",300200327_,BLNRA000411,5,4,39,64,68,52,50,31,54,131,21,21,67,29,69,62,23,16,30,22,17,104,9,24,70,21,40,20,29,6,16,45,38,24,1316
"S431 Роз 4-ная  о/у с з/к со штор. 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA011411 (24)",300200328_,BLNRA011411,4,79,4,97,249,257,239,317,341,419,335,201,151,252,259,223,287,142,319,209,242,151,170,201,335,303,167,149,282,219,398,242,255,239,7733
"S432 Звонок проводной  о/у ""BLANCA"" белый BLNZA000011 (48)",300200330_,BLNZA000011,8,1,,1,3,5,4,53,4,2,4,1,,2,3,8,1,2,,24,1,,,3,2,1,,2,2,3,1,,2,10,145
"S433 Роз  2-ная  с/у с з/к с крыш. IP44 16А 250B ""BLANCA"" белый BLNRS441121 (30)",300200348_,BLNRS441121,5,,8,,7,9,15,1,35,4,16,4,3,,8,40,1,,,1,1,1,,,1,2,,1,,3,3,3,1,,168
"S434 Роз с/у компьютерная RJ45 кат.5Е ""BLANCA"" белый BLNIS045001 (60)",300200350_,BLNIS045001,10,16,,2,5,,3,30,,3,,,,19,5,5,,,,3,1,2,,,,,4,,,,,,,,98
"S435 Роз TV коннектор ""BLANCA"" белый BLNTS000011  (60)",300200352_,BLNTS000011,10,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2
"А384 Выкл 1 кл 10А с/у ""ATLAS"" алюминий ATN312 (10)",300200430_,ATN000312,10,93,40,26,25,119,62,26,24,29,26,70,-23,32,15,3,20,25,100,12,12,42,23,18,132,25,6,24,9,15,25,25,31,,1111
"А3844 Выкл 1 кл 10А механизм ""ATLAS"" алюминий ATN311 (10)",300200588_,ATN000311,10,,4,30,111,115,109,71,132,111,86,55,119,133,32,78,65,107,131,77,27,75,145,67,120,17,28,53,15,20,110,47,-68,33,2255
