tree,node,depth,count,is_leaf,feature,condition,left,right,missing_go_to_left,value,threshold,left_categories
5,28,4,6237,True,,leaf,,,False,0.009958139574490705,,[]
6,0,0,86094,False,nonzero_12,nonzero_12 <= 0.375,1.0,12.0,False,0.0,0.375,[]
6,1,1,30705,False,mean_6,mean_6 <= 1.05124,2.0,7.0,True,-0.4779749308155624,1.0512417478780258,[]
6,2,2,22310,False,mean_6,mean_6 <= 0.166667,3.0,4.0,False,-0.5845878136200717,0.16666666666666666,[]
6,3,3,10648,True,,leaf,,,False,-0.016706633877840906,,[]
6,4,3,11662,False,category,"category in ['0104', '0201', '0203', '0811', '1201', '1306', '1510', '2403', '2502', '2506', '2704', '2802', '2901', '2902']",5.0,6.0,False,-0.4900616860863605,,"[""0104"", ""0201"", ""0203"", ""0811"", ""1201"", ""1306"", ""1510"", ""2403"", ""2502"", ""2506"", ""2704"", ""2802"", ""2901"", ""2902""]"
6,5,4,1294,True,,leaf,,,False,-0.016706633877840906,,[]
6,6,4,10368,True,,leaf,,,False,-0.016706633877840906,,[]
6,7,2,8395,False,nonzero_12,nonzero_12 <= 0.208333,8.0,9.0,False,-0.19428911362284354,0.20833333333333331,[]
6,8,3,3247,True,,leaf,,,False,-0.016706633877840906,,[]
6,9,3,5148,False,month_sin,month_sin <= -0.25,10.0,11.0,True,-0.053896859247770455,-0.24999999999999997,[]
6,10,4,3279,True,,leaf,,,False,0.014872313490580151,,[]
6,11,4,1869,True,,leaf,,,False,-0.016706633877840906,,[]
6,12,1,55389,False,lag_2,lag_2 <= 0.134831,13.0,14.0,False,0.20388454665246666,0.1348314606741573,[]
6,13,2,10281,True,,leaf,,,False,-0.007859840471075635,,[]
6,14,2,45108,False,month_sin,month_sin <= -6.12323e-17,15.0,24.0,True,0.2776275544128729,-6.123233995736766e-17,[]
6,15,3,23804,False,log_scale,log_scale <= 3.22883,16.0,21.0,True,0.41681363903586127,3.228826155721369,[]
6,16,4,13993,False,category,"category in ['0103', '0104', '0105', '0107', '0108', '0808', '1140', '1201', '1302', '2403', '2514', '2703', '2802', 'прочее']",17.0,18.0,False,0.30314932514461185,,"[""0103"", ""0104"", ""0105"", ""0107"", ""0108"", ""0808"", ""1140"", ""1201"", ""1302"", ""2403"", ""2514"", ""2703"", ""2802"", ""прочее""]"
6,17,5,4880,True,,leaf,,,False,0.02997980161867736,,[]
6,18,5,9113,False,mean_6,mean_6 <= 1.69231,19.0,20.0,True,0.21560890058094925,1.6923076923076923,[]
6,19,6,6313,True,,leaf,,,False,0.008461125294709094,,[]
6,20,6,2800,True,,leaf,,,False,0.04001010507645193,,[]
6,21,4,9811,False,mean_6,mean_6 <= 1.27273,22.0,23.0,False,0.5784543325526932,1.272727272727273,[]
6,22,5,4500,True,,leaf,,,False,0.016915014043213685,,[]
6,23,5,5311,True,,leaf,,,False,0.041216367780890925,,[]
6,24,3,21304,False,cv_12,cv_12 <= 0.818488,25.0,28.0,True,0.1219855494041475,0.8184875533567997,[]
6,25,4,12080,False,log_scale,log_scale <= 6.11993,26.0,27.0,True,0.2739454094292804,6.119931051480283,[]
6,26,5,10392,True,,leaf,,,False,0.007453944797820348,,[]
